customer_id,customer_first_name,customer_last_name,category_name,customer_segment,customer_city,customer_state,customer_country,customer_region,delivery_status,order_date,shipping_type,order_item_discount,order_quantity,product_name,order_id,days_for_shipment_scheduled,days_for_shipment_real,ship_date,sales_per_order,profit_per_order
CUST1014,Olivia,Davis,Clothing,Home Office,Bangalore,West Bengal,India,West,Shipped,2024-02-03,Second Class,0.15,1,T-Shirt,ORD10014,9,10,2024-02-13,133.25,32.76
CUST1015,David,Rodriguez,Toys,Corporate,Kolkata,Tamil Nadu,India,South,Cancelled,2023-08-09,Standard Class,0.04,1,Action Figure,ORD10015,5,3,2023-08-12,312.94,60.21
CUST1016,Emma,Garcia,Beauty,Consumer,Kolkata,Delhi,India,West,Delivered,2024-08-17,Same Day,0.13,2,Moisturizer,ORD10016,6,6,2024-08-23,4529.5,673.3
CUST1017,Ava,Miller,Books,Consumer,Chennai,Maharashtra,India,West,Cancelled,2023-07-01,First Class,0.1,3,Biography,ORD10017,7,6,2023-07-07,2685.06,594.65
CUST1018,Olivia,Smith,Sports,Home Office,Hyderabad,Maharashtra,India,East,Cancelled,2023-11-03,Same Day,0.16,2,Tennis Racket,ORD10018,7,9,2023-11-12,3705.92,262.73
CUST1019,Emma,Jones,Beauty,Home Office,Bangalore,Tamil Nadu,India,West,Returned,2024-06-05,First Class,0.18,4,Perfume,ORD10019,9,10,2024-06-15,4208.65,588.62
CUST1020,David,Jones,Electronics,Home Office,Bangalore,Telangana,India,North,Delivered,2024-01-31,Same Day,0.0,2,Headphones,ORD10020,4,5,2024-02-05,4752.98,510.57
CUST1021,John,Martinez,Sports,Home Office,Mumbai,Telangana,India,East,Delivered,2023-01-04,Second Class,0.23,1,Yoga Mat,ORD10021,9,8,2023-01-12,4359.83,309.23
CUST1022,Isabella,Brown,Home & Kitchen,Corporate,Bangalore,West Bengal,India,East,Shipped,2023-10-08,Second Class,0.21,2,Lamp,ORD10022,8,7,2023-10-15,2468.23,500.31
CUST1023,Olivia,Garcia,Electronics,Consumer,Delhi,West Bengal,India,South,Shipped,2023-08-03,Standard Class,0.11,1,Smartphone,ORD10023,5,4,2023-08-07,1746.25,265.71
CUST1024,Noah,Miller,Electronics,Home Office,Hyderabad,Tamil Nadu,India,West,Returned,2024-02-24,First Class,0.02,2,Laptop,ORD10024,7,7,2024-03-02,857.02,138.28
CUST1025,John,Rodriguez,Home & Kitchen,Corporate,Mumbai,West Bengal,India,West,Cancelled,2023-04-11,Standard Class,0.23,1,Mixer,ORD10025,9,8,2023-04-19,2061.58,272.65
CUST1026,Isabella,Smith,Books,Home Office,Delhi,Maharashtra,India,North,Shipped,2024-06-04,Second Class,0.29,4,Textbook,ORD10026,5,3,2024-06-07,1895.82,269.33
CUST1027,Michael,Garcia,Electronics,Home Office,Chennai,Maharashtra,India,South,Shipped,2024-07-26,First Class,0.07,1,Headphones,ORD10027,8,10,2024-08-05,2841.92,208.04
CUST1028,Liam,Miller,Toys,Consumer,Kolkata,Delhi,India,South,Delivered,2023-11-05,Standard Class,0.1,2,Board Game,ORD10028,7,6,2023-11-11,3361.0,620.39
CUST1029,Sophia,Williams,Sports,Home Office,Chennai,Telangana,India,East,Delivered,2024-05-24,Standard Class,0.06,4,Football,ORD10029,8,8,2024-06-01,4893.79,667.95
CUST1030,Noah,Davis,Beauty,Consumer,Kolkata,Tamil Nadu,India,East,Shipped,2023-03-04,Standard Class,0.17,2,Moisturizer,ORD10030,5,7,2023-03-11,3669.09,782.81
CUST1031,Michael,Jones,Electronics,Consumer,Chennai,Karnataka,India,East,Delivered,2023-08-14,Standard Class,0.05,4,Smartwatch,ORD10031,6,7,2023-08-21,3254.37,290.48
CUST1032,David,Rodriguez,Sports,Consumer,Bangalore,Telangana,India,North,Returned,2023-04-15,Standard Class,0.11,3,Yoga Mat,ORD10032,5,4,2023-04-19,1741.95,158.54
CUST1033,Michael,Jones,Clothing,Corporate,Delhi,Karnataka,India,North,Shipped,2024-02-29,First Class,0.21,3,Jeans,ORD10033,9,11,2024-03-11,269.07,48.2
CUST1034,Liam,Rodriguez,Sports,Corporate,Kolkata,Delhi,India,East,Delivered,2023-09-12,Standard Class,0.17,3,Football,ORD10034,8,9,2023-09-21,1511.81,331.39
CUST1035,David,Martinez,Beauty,Consumer,Mumbai,Delhi,India,South,Returned,2024-03-04,First Class,0.12,2,Shampoo,ORD10035,6,6,2024-03-10,3865.39,558.32
CUST1036,Noah,Brown,Sports,Home Office,Delhi,West Bengal,India,North,Delivered,2024-03-09,Standard Class,0.13,2,Football,ORD10036,6,4,2024-03-13,1105.83,216.07
CUST1037,Liam,Rodriguez,Home & Kitchen,Consumer,Mumbai,Delhi,India,South,Delivered,2023-07-26,Second Class,0.17,4,Mixer,ORD10037,4,3,2023-07-29,3589.72,896.95
CUST1038,Emma,Jones,Beauty,Home Office,Delhi,Delhi,India,South,Delivered,2023-01-28,Second Class,0.0,4,Moisturizer,ORD10038,7,5,2023-02-02,2940.92,729.5
CUST1039,Sophia,Martinez,Books,Consumer,Delhi,Karnataka,India,West,Shipped,2023-12-02,Standard Class,0.02,4,Textbook,ORD10039,2,2,2023-12-04,942.1,187.35
CUST1040,Noah,Rodriguez,Clothing,Home Office,Chennai,West Bengal,India,East,Cancelled,2024-08-10,Same Day,0.26,4,Dress,ORD10040,6,8,2024-08-18,1381.96,273.51
CUST1041,Emma,Williams,Home & Kitchen,Corporate,Kolkata,Delhi,India,West,Delivered,2023-03-10,Second Class,0.02,1,Cookware Set,ORD10041,8,10,2023-03-20,2531.89,251.98
CUST1042,Isabella,Brown,Books,Home Office,Kolkata,Telangana,India,East,Returned,2024-05-27,First Class,0.21,3,Fiction Novel,ORD10042,7,7,2024-06-03,2150.04,465.93
CUST1043,Noah,Rodriguez,Sports,Consumer,Delhi,Delhi,India,East,Shipped,2023-06-16,Standard Class,0.28,1,Dumbbells,ORD10043,3,3,2023-06-19,3914.96,512.94
CUST1044,Isabella,Martinez,Beauty,Corporate,Bangalore,West Bengal,India,South,Shipped,2024-01-03,First Class,0.08,1,Lipstick,ORD10044,5,4,2024-01-07,3698.58,896.53
CUST1045,David,Garcia,Clothing,Home Office,Bangalore,Tamil Nadu,India,East,Returned,2023-09-08,Same Day,0.11,1,Jacket,ORD10045,9,10,2023-09-18,2915.42,193.25
CUST1046,Emma,Johnson,Home & Kitchen,Home Office,Mumbai,West Bengal,India,South,Delivered,2023-06-19,Standard Class,0.17,1,Vacuum Cleaner,ORD10046,8,6,2023-06-25,4129.15,566.39
CUST1047,Sophia,Miller,Books,Home Office,Mumbai,Karnataka,India,South,Cancelled,2023-03-31,Second Class,0.26,3,Comics,ORD10047,3,1,2023-04-01,2857.08,460.47
CUST1048,Liam,Johnson,Books,Home Office,Chennai,Tamil Nadu,India,East,Delivered,2024-07-14,First Class,0.28,1,Comics,ORD10048,8,10,2024-07-24,4825.51,632.29
CUST1049,Ava,Johnson,Clothing,Home Office,Delhi,Telangana,India,South,Returned,2024-03-21,Second Class,0.22,4,T-Shirt,ORD10049,5,7,2024-03-28,1164.4,107.26
CUST1050,Michael,Smith,Toys,Corporate,Mumbai,Maharashtra,India,South,Shipped,2023-10-21,Second Class,0.03,2,Action Figure,ORD10050,4,3,2023-10-24,3599.25,606.83
CUST1051,John,Williams,Sports,Corporate,Mumbai,West Bengal,India,South,Cancelled,2023-05-30,Standard Class,0.2,4,Tennis Racket,ORD10051,8,8,2023-06-07,1912.73,384.81
CUST1052,Sophia,Garcia,Clothing,Corporate,Hyderabad,Karnataka,India,North,Shipped,2023-05-12,First Class,0.12,2,Dress,ORD10052,6,4,2023-05-16,1466.93,262.53
CUST1053,Emma,Davis,Books,Corporate,Delhi,Telangana,India,South,Returned,2024-03-08,Same Day,0.14,4,Textbook,ORD10053,2,1,2024-03-09,983.9,95.33
CUST1054,Ava,Rodriguez,Electronics,Consumer,Chennai,Tamil Nadu,India,North,Delivered,2023-02-28,Second Class,0.01,4,Headphones,ORD10054,6,8,2023-03-08,2807.27,551.13
CUST1055,Sophia,Miller,Home & Kitchen,Corporate,Mumbai,Telangana,India,North,Cancelled,2023-07-18,Standard Class,0.06,2,Lamp,ORD10055,5,7,2023-07-25,1155.8,117.17
CUST1056,Emma,Brown,Clothing,Home Office,Chennai,West Bengal,India,South,Shipped,2023-08-03,Standard Class,0.24,3,Dress,ORD10056,8,6,2023-08-09,1081.72,91.99
CUST1057,Olivia,Garcia,Toys,Home Office,Kolkata,Delhi,India,South,Shipped,2024-07-14,Same Day,0.14,1,Doll,ORD10057,2,4,2024-07-18,4953.61,931.94
CUST1058,Olivia,Jones,Books,Corporate,Chennai,West Bengal,India,North,Shipped,2024-04-16,Standard Class,0.09,4,Biography,ORD10058,6,8,2024-04-24,4028.56,880.47
CUST1059,Isabella,Davis,Sports,Home Office,Bangalore,Maharashtra,India,North,Delivered,2023-09-04,Second Class,0.12,3,Yoga Mat,ORD10059,2,3,2023-09-07,3766.56,551.08
CUST1060,Sophia,Smith,Books,Corporate,Bangalore,West Bengal,India,South,Cancelled,2024-01-17,Standard Class,0.26,1,Textbook,ORD10060,9,9,2024-01-26,3990.9,623.69
CUST1061,Olivia,Smith,Sports,Home Office,Chennai,Tamil Nadu,India,South,Delivered,2023-08-27,First Class,0.22,3,Football,ORD10061,5,7,2023-09-03,4847.72,535.91
CUST1062,Emma,Garcia,Clothing,Consumer,Bangalore,Tamil Nadu,India,East,Delivered,2024-01-02,First Class,0.08,3,T-Shirt,ORD10062,4,5,2024-01-07,2909.06,433.23
CUST1063,Isabella,Martinez,Sports,Consumer,Kolkata,West Bengal,India,North,Delivered,2023-06-17,Second Class,0.04,1,Dumbbells,ORD10063,4,3,2023-06-20,1179.19,90.09
CUST1064,Emma,Johnson,Beauty,Corporate,Delhi,Tamil Nadu,India,North,Returned,2024-07-13,First Class,0.08,4,Lipstick,ORD10064,8,10,2024-07-23,4324.83,1043.0
CUST1065,Isabella,Jones,Beauty,Corporate,Bangalore,Delhi,India,East,Returned,2023-02-20,Same Day,0.28,3,Perfume,ORD10065,6,5,2023-02-25,3739.38,785.54
CUST1066,Sophia,Smith,Beauty,Corporate,Bangalore,Telangana,India,North,Returned,2024-01-15,Standard Class,0.17,4,Shampoo,ORD10066,3,5,2024-01-20,2130.11,391.08
CUST1067,Ava,Miller,Toys,Home Office,Chennai,West Bengal,India,West,Cancelled,2024-04-18,Second Class,0.16,4,Board Game,ORD10067,5,3,2024-04-21,2420.49,381.56
CUST1068,Liam,Smith,Toys,Corporate,Kolkata,Delhi,India,North,Delivered,2023-03-21,Same Day,0.18,4,Action Figure,ORD10068,6,7,2023-03-28,2115.14,440.87
CUST1069,Noah,Brown,Electronics,Consumer,Delhi,Telangana,India,East,Delivered,2024-01-02,Standard Class,0.11,1,Smartwatch,ORD10069,6,7,2024-01-09,4656.72,693.63
CUST1070,Ava,Rodriguez,Toys,Home Office,Chennai,Telangana,India,West,Returned,2024-04-05,Same Day,0.24,2,Action Figure,ORD10070,4,2,2024-04-07,1783.3,196.15
CUST1071,David,Smith,Clothing,Corporate,Chennai,Delhi,India,South,Delivered,2024-06-22,Second Class,0.16,4,Dress,ORD10071,8,8,2024-06-30,4821.07,395.69
CUST1072,Emma,Brown,Books,Home Office,Hyderabad,Karnataka,India,East,Delivered,2024-03-27,Second Class,0.04,2,Biography,ORD10072,2,3,2024-03-30,4560.33,818.66
CUST1073,David,Garcia,Books,Home Office,Kolkata,West Bengal,India,East,Shipped,2024-04-08,Same Day,0.04,2,Textbook,ORD10073,5,4,2024-04-12,3189.55,752.37
CUST1074,Ava,Garcia,Electronics,Corporate,Delhi,Telangana,India,South,Delivered,2024-04-22,Standard Class,0.16,3,Laptop,ORD10074,9,10,2024-05-02,2941.13,237.42
CUST1075,Isabella,Davis,Toys,Home Office,Kolkata,Telangana,India,East,Shipped,2024-02-24,First Class,0.28,4,Board Game,ORD10075,2,2,2024-02-26,1913.44,164.56
CUST1076,Noah,Smith,Sports,Consumer,Delhi,Tamil Nadu,India,North,Delivered,2023-08-02,First Class,0.09,4,Tennis Racket,ORD10076,7,6,2023-08-08,189.86,25.96
CUST1077,Noah,Miller,Electronics,Consumer,Kolkata,Telangana,India,South,Cancelled,2024-01-04,Same Day,0.26,4,Smartphone,ORD10077,7,6,2024-01-10,725.35,153.32
CUST1078,John,Smith,Sports,Home Office,Chennai,Delhi,India,East,Returned,2023-04-24,Second Class,0.23,2,Tennis Racket,ORD10078,5,3,2023-04-27,3795.73,412.92
CUST1079,Noah,Miller,Sports,Corporate,Chennai,Telangana,India,South,Shipped,2024-05-17,Standard Class,0.07,1,Tennis Racket,ORD10079,8,10,2024-05-27,2410.55,242.94
CUST1080,Liam,Williams,Home & Kitchen,Home Office,Mumbai,Karnataka,India,South,Returned,2024-08-10,Standard Class,0.01,2,Mixer,ORD10080,3,1,2024-08-11,834.21,145.15
CUST1081,Noah,Davis,Books,Consumer,Bangalore,West Bengal,India,South,Shipped,2023-11-07,Second Class,0.03,4,Textbook,ORD10081,7,9,2023-11-16,1393.41,218.94
CUST1082,Ava,Williams,Beauty,Home Office,Hyderabad,West Bengal,India,West,Shipped,2024-04-13,First Class,0.22,4,Shampoo,ORD10082,4,2,2024-04-15,4744.4,294.36
CUST1083,John,Smith,Toys,Home Office,Kolkata,Telangana,India,East,Shipped,2023-02-13,Standard Class,0.06,4,Action Figure,ORD10083,3,5,2023-02-18,1898.95,125.9
CUST1084,Ava,Davis,Sports,Consumer,Hyderabad,Maharashtra,India,West,Cancelled,2024-02-19,Same Day,0.11,2,Tennis Racket,ORD10084,6,7,2024-02-26,4547.64,812.22
CUST1085,Ava,Williams,Home & Kitchen,Home Office,Mumbai,Maharashtra,India,East,Delivered,2023-09-03,First Class,0.15,4,Vacuum Cleaner,ORD10085,7,6,2023-09-09,1592.72,227.8
CUST1086,Michael,Johnson,Books,Home Office,Bangalore,Delhi,India,North,Shipped,2023-03-25,Same Day,0.22,3,Biography,ORD10086,4,6,2023-03-31,2761.78,674.41
CUST1087,John,Smith,Beauty,Corporate,Kolkata,Maharashtra,India,North,Cancelled,2023-07-26,First Class,0.03,4,Moisturizer,ORD10087,6,7,2023-08-02,200.34,37.2
CUST1088,Ava,Williams,Sports,Corporate,Delhi,Delhi,India,North,Shipped,2023-05-31,Second Class,0.12,1,Yoga Mat,ORD10088,3,3,2023-06-03,2657.19,138.21
CUST1089,Michael,Johnson,Sports,Consumer,Bangalore,Tamil Nadu,India,East,Delivered,2024-06-11,Same Day,0.15,3,Tennis Racket,ORD10089,5,3,2024-06-14,3221.02,470.93
CUST1090,Michael,Johnson,Electronics,Consumer,Chennai,Delhi,India,South,Shipped,2023-06-14,Same Day,0.16,4,Headphones,ORD10090,6,6,2023-06-20,1248.09,165.86
CUST1091,John,Garcia,Electronics,Consumer,Mumbai,Maharashtra,India,South,Cancelled,2023-05-25,Second Class,0.25,3,Laptop,ORD10091,2,3,2023-05-28,2936.79,209.52
CUST1092,David,Smith,Books,Corporate,Bangalore,Telangana,India,West,Delivered,2023-02-06,Same Day,0.05,4,Fiction Novel,ORD10092,5,5,2023-02-11,3271.12,767.54
CUST1093,Isabella,Johnson,Beauty,Consumer,Bangalore,Tamil Nadu,India,West,Cancelled,2023-11-29,First Class,0.24,1,Lipstick,ORD10093,5,5,2023-12-04,3465.74,731.28
CUST1094,Liam,Garcia,Sports,Consumer,Chennai,Maharashtra,India,North,Delivered,2024-02-07,Standard Class,0.21,4,Yoga Mat,ORD10094,3,4,2024-02-11,3904.38,374.89
CUST1095,Isabella,Williams,Books,Consumer,Kolkata,Delhi,India,West,Delivered,2024-02-18,Standard Class,0.17,3,Textbook,ORD10095,3,2,2024-02-20,1625.56,164.5
CUST1096,Noah,Brown,Books,Corporate,Delhi,Karnataka,India,East,Returned,2023-02-14,Second Class,0.21,1,Fiction Novel,ORD10096,4,6,2023-02-20,2882.11,162.56
CUST1097,Liam,Smith,Clothing,Home Office,Chennai,West Bengal,India,East,Returned,2024-02-06,First Class,0.12,2,Dress,ORD10097,4,2,2024-02-08,4909.74,536.85
CUST1098,Noah,Davis,Toys,Consumer,Delhi,Maharashtra,India,West,Returned,2023-07-25,Same Day,0.04,1,Action Figure,ORD10098,2,4,2023-07-29,4500.91,751.31
CUST1099,Ava,Miller,Electronics,Home Office,Kolkata,Delhi,India,West,Delivered,2023-03-03,Same Day,0.2,1,Laptop,ORD10099,5,3,2023-03-06,4768.06,639.72
CUST1100,Emma,Miller,Beauty,Consumer,Bangalore,Tamil Nadu,India,West,Shipped,2024-02-24,Standard Class,0.16,1,Moisturizer,ORD10100,9,11,2024-03-06,1992.07,485.77
CUST1101,John,Williams,Sports,Home Office,Delhi,Maharashtra,India,West,Cancelled,2024-04-12,Same Day,0.19,3,Football,ORD10101,8,8,2024-04-20,3955.95,242.17
CUST1102,Liam,Martinez,Books,Corporate,Mumbai,Maharashtra,India,North,Cancelled,2023-01-19,Standard Class,0.1,1,Comics,ORD10102,2,1,2023-01-20,3137.5,528.0
CUST1103,Liam,Martinez,Sports,Corporate,Mumbai,West Bengal,India,North,Cancelled,2023-12-31,Second Class,0.27,4,Dumbbells,ORD10103,2,2,2024-01-02,505.4,112.03
CUST1104,Ava,Williams,Clothing,Consumer,Chennai,Delhi,India,West,Returned,2023-10-27,Same Day,0.18,1,Dress,ORD10104,8,7,2023-11-03,4137.5,604.69
CUST1105,David,Johnson,Beauty,Home Office,Kolkata,Karnataka,India,East,Delivered,2023-01-07,First Class,0.03,1,Shampoo,ORD10105,8,9,2023-01-16,3417.8,172.92
CUST1106,Michael,Smith,Books,Corporate,Chennai,Tamil Nadu,India,North,Returned,2024-03-03,Same Day,0.13,4,Fiction Novel,ORD10106,8,6,2024-03-09,1074.7,105.92
CUST1107,Ava,Miller,Sports,Consumer,Chennai,Delhi,India,East,Shipped,2023-04-27,Standard Class,0.23,4,Yoga Mat,ORD10107,3,1,2023-04-28,490.72,56.31
CUST1108,Olivia,Miller,Electronics,Consumer,Hyderabad,Tamil Nadu,India,South,Delivered,2024-08-02,Second Class,0.24,2,Headphones,ORD10108,2,3,2024-08-05,4201.41,1021.78
CUST1109,Michael,Johnson,Toys,Corporate,Chennai,Maharashtra,India,East,Cancelled,2024-05-21,Standard Class,0.15,1,Puzzle,ORD10109,2,4,2024-05-25,486.62,113.07
CUST1110,John,Miller,Clothing,Corporate,Hyderabad,West Bengal,India,West,Returned,2024-06-29,Same Day,0.27,3,Jeans,ORD10110,6,7,2024-07-06,547.63,131.34
CUST1111,Michael,Davis,Beauty,Consumer,Mumbai,West Bengal,India,South,Returned,2023-11-21,Standard Class,0.08,1,Moisturizer,ORD10111,8,9,2023-11-30,2194.3,472.11
CUST1112,David,Smith,Clothing,Home Office,Mumbai,Telangana,India,North,Shipped,2023-02-24,Standard Class,0.12,1,Dress,ORD10112,8,7,2023-03-03,760.51,91.51
CUST1113,Michael,Rodriguez,Electronics,Home Office,Chennai,Karnataka,India,North,Shipped,2023-02-11,Second Class,0.27,4,Laptop,ORD10113,4,5,2023-02-16,4576.98,1058.08
CUST1114,John,Miller,Beauty,Home Office,Mumbai,West Bengal,India,South,Returned,2023-10-24,First Class,0.27,2,Perfume,ORD10114,4,2,2023-10-26,2404.39,592.29
CUST1115,David,Williams,Clothing,Consumer,Kolkata,Maharashtra,India,East,Shipped,2023-08-19,Same Day,0.21,1,T-Shirt,ORD10115,5,5,2023-08-24,2888.84,346.7
CUST1116,Isabella,Davis,Home & Kitchen,Corporate,Hyderabad,Karnataka,India,North,Cancelled,2024-03-28,Second Class,0.26,3,Lamp,ORD10116,4,3,2024-03-31,4647.72,474.58
CUST1117,Liam,Miller,Electronics,Consumer,Hyderabad,Delhi,India,West,Shipped,2024-01-29,First Class,0.03,1,Smartwatch,ORD10117,7,6,2024-02-04,2698.29,430.06
CUST1118,Liam,Davis,Electronics,Corporate,Chennai,West Bengal,India,South,Shipped,2024-06-05,Standard Class,0.26,3,Laptop,ORD10118,5,7,2024-06-12,1832.6,160.23
CUST1119,Noah,Garcia,Electronics,Home Office,Mumbai,Karnataka,India,West,Returned,2023-12-24,First Class,0.1,4,Smartphone,ORD10119,9,9,2024-01-02,4006.06,226.44
CUST1120,Isabella,Rodriguez,Home & Kitchen,Home Office,Delhi,Maharashtra,India,South,Returned,2024-03-19,Standard Class,0.05,2,Vacuum Cleaner,ORD10120,8,7,2024-03-26,2269.97,542.9
CUST1121,Isabella,Jones,Home & Kitchen,Corporate,Hyderabad,Telangana,India,North,Delivered,2023-05-08,Standard Class,0.07,1,Vacuum Cleaner,ORD10121,6,7,2023-05-15,1660.5,390.46
CUST1122,Michael,Williams,Sports,Corporate,Chennai,Tamil Nadu,India,East,Delivered,2024-02-09,Second Class,0.13,2,Yoga Mat,ORD10122,4,3,2024-02-12,3643.82,300.73
CUST1123,Liam,Williams,Books,Consumer,Chennai,Tamil Nadu,India,South,Returned,2024-01-27,Standard Class,0.08,1,Comics,ORD10123,6,5,2024-02-01,4027.87,529.86
CUST1124,John,Smith,Toys,Home Office,Kolkata,Maharashtra,India,South,Shipped,2023-07-12,Second Class,0.1,3,Action Figure,ORD10124,4,3,2023-07-15,3979.41,860.38
CUST1125,Sophia,Davis,Clothing,Consumer,Bangalore,Maharashtra,India,West,Shipped,2023-03-19,First Class,0.04,2,Jacket,ORD10125,4,6,2023-03-25,4890.6,891.07
CUST1126,Sophia,Johnson,Sports,Consumer,Bangalore,Tamil Nadu,India,North,Delivered,2023-03-26,First Class,0.09,1,Dumbbells,ORD10126,6,5,2023-03-31,3954.67,509.98
CUST1127,David,Williams,Clothing,Consumer,Hyderabad,Telangana,India,West,Delivered,2023-01-30,Standard Class,0.17,4,Jeans,ORD10127,2,1,2023-01-31,3872.67,770.02
CUST1128,Liam,Davis,Toys,Home Office,Kolkata,Karnataka,India,North,Delivered,2023-02-18,Second Class,0.13,3,Action Figure,ORD10128,2,4,2023-02-22,4301.68,986.85
CUST1129,Liam,Davis,Books,Consumer,Kolkata,Tamil Nadu,India,West,Cancelled,2023-05-25,Standard Class,0.1,2,Comics,ORD10129,2,2,2023-05-27,100.91,23.74
CUST1130,Sophia,Brown,Home & Kitchen,Consumer,Kolkata,Maharashtra,India,South,Cancelled,2023-03-10,Second Class,0.22,1,Vacuum Cleaner,ORD10130,7,5,2023-03-15,1875.91,235.93
CUST1131,Liam,Brown,Books,Consumer,Hyderabad,West Bengal,India,West,Delivered,2023-02-27,Second Class,0.27,2,Textbook,ORD10131,2,4,2023-03-03,3714.26,314.64
CUST1132,Michael,Jones,Home & Kitchen,Consumer,Bangalore,Delhi,India,East,Shipped,2024-07-27,Second Class,0.23,1,Mixer,ORD10132,4,6,2024-08-02,3038.62,706.69
CUST1133,Olivia,Garcia,Toys,Consumer,Kolkata,Telangana,India,North,Delivered,2024-04-23,First Class,0.1,3,Doll,ORD10133,8,7,2024-04-30,970.1,66.46
CUST1134,Emma,Jones,Books,Consumer,Mumbai,Telangana,India,North,Cancelled,2024-03-20,Second Class,0.22,4,Textbook,ORD10134,3,2,2024-03-22,1588.29,308.66
CUST1135,Isabella,Miller,Sports,Home Office,Chennai,West Bengal,India,South,Shipped,2023-10-23,First Class,0.05,3,Tennis Racket,ORD10135,6,4,2023-10-27,1750.28,136.7
CUST1136,Noah,Johnson,Beauty,Consumer,Chennai,West Bengal,India,North,Cancelled,2023-06-20,Second Class,0.04,2,Perfume,ORD10136,8,7,2023-06-27,2882.36,368.59
CUST1137,David,Miller,Sports,Corporate,Delhi,Maharashtra,India,East,Shipped,2024-07-28,First Class,0.1,2,Dumbbells,ORD10137,3,4,2024-08-01,4174.83,552.38
CUST1138,Olivia,Martinez,Clothing,Consumer,Delhi,Tamil Nadu,India,West,Cancelled,2023-05-27,Same Day,0.24,1,Jeans,ORD10138,8,7,2023-06-03,4669.21,381.72
CUST1139,Sophia,Miller,Sports,Consumer,Hyderabad,Karnataka,India,South,Shipped,2024-04-28,First Class,0.07,3,Football,ORD10139,7,6,2024-05-04,3775.45,885.48
CUST1140,Isabella,Smith,Toys,Home Office,Hyderabad,Telangana,India,East,Shipped,2023-11-02,First Class,0.02,1,Doll,ORD10140,3,4,2023-11-06,4230.46,213.78
CUST1141,Liam,Miller,Electronics,Home Office,Chennai,Telangana,India,North,Shipped,2024-03-21,Standard Class,0.04,3,Headphones,ORD10141,9,7,2024-03-28,2403.47,549.82
CUST1142,Noah,Jones,Clothing,Corporate,Mumbai,West Bengal,India,North,Shipped,2023-08-09,Second Class,0.26,2,Dress,ORD10142,5,6,2023-08-15,2009.9,455.78
CUST1143,Liam,Williams,Books,Corporate,Bangalore,Tamil Nadu,India,East,Returned,2024-07-08,Same Day,0.19,1,Comics,ORD10143,2,4,2024-07-12,2024.27,229.54
